Entity,English entity
´óÂó¼áºÚËë²¡,Barley covered smut
´óÂóÉ¢ºÚËë²¡,Barley loose smut
´óÂóÒ¶Ğâ²¡,Barley leaf rust
Âó³¤¹ÜÑÁ,nan
Âó¶ş²æÑÁ,Green bug
ÂóË«Î²ÑÁ,Diuraphis noxia
Âó¾¥·ä,wheat stem sawfly
Ê®ËÄµã¸ºÄà³æ,nan
ÓñÃ×´ó°ß²¡,Corn northern leaf blight
ÓñÃ×Ğ¡°ß²¡,Corn southern leaf blight
ÓñÃ×ÍäæßÃ¹Ò¶°ß²¡,Corn Curvularia leaf spots
ÓñÃ×»Ò°ß²¡,Maize gray leaf spot
ÓñÃ×Á­µ¶¾úÃç¿İ²¡,nan
»ÆÂéÃç¿İ²¡,Jute seedling blight
»ÆÂéºÚµãÌ¿¾Ò²¡,nan
»ÆÂéÒ¶¿İ²¡,Jute leaf blight
»ÆÂé¾¥¸¯²¡,Jute stem rot
»ÆÂé¾¥°ß²¡,nan
ÓñÃ×ÎÆ¿İ²¡,Corn sheath blight
ÓñÃ×Ğâ²¡,Corn rust
ÓñÃ×ºÖ°ß²¡,Corn Brown Spot
ÓñÃ×ÂÖÎÆ°ß²¡,Corn zonate leaf spot
ÓñÃ×·è¶¥²¡,Corn crazy
ÓñÃ×¾¥¸¯²¡,Corn grayish-green blight
ÓñÃ×Ô²°ß²¡,Corn northern leaf spot
ÓñÃ×¸É¸¯²¡,Corn downy mildew
ÓñÃ×Ë¿ºÚËë²¡,Corn head smut
ÓñÃ×ºÚ·Û²¡,Corn smut
»ÆÂéÁ¢¿İ²¡,Jute soreshin
»ÆÂéÌ¿¾Ò²¡,Jute anthracnose
»ÆÂéºÖ°ß²¡,Jute brown spot
»ÆÂé¿İ¸¯²¡,nan
»ÆÂé¿İÎ®²¡,Jute jusarium wilt disease
¹Å¶¾¶ê,rusty tussock moth£¬common vapourer moth
Òø¶§Ò¹¶ê,nan
ÏòÈÕ¿ûºÖ°ß²¡,Sunflower brown spot
ÏòÈÕ¿û°×·Û²¡,Sunflower powdery mildew
ÏòÈÕ¿ûËªÃ¹²¡,Sunflower downy mildew
ÏòÈÕ¿û¸ù¾¥¸¯²¡,nan
ÏòÈÕ¿û°×¾î²¡,Sunflower Sclerotiumb light
ÏòÈÕ¿û»ÆÎ®²¡,nan
ÏòÈÕ¿û»ÒÃ¹²¡,Sunflower gray mold
ÏòÈÕ¿ûÏ¸¾úĞÔÒ¶°ß²¡,Bacterial leaf spot of sunflower
ÏòÈÕ¿ûÏ¸¾úĞÔ¾¥¸¯²¡,Powdery bacterial stalk rots
ÏòÈÕ¿û¸ù½áÏß³æ²¡,sunflower root knot nematode
ÏòÈÕ¿û»¨Ò¶²¡¶¾²¡,Sunflower mosaic virus
òÒòõ,Land slug
Ä§Óó°×¾î²¡,nan
Ä§ÓóÈí¸¯²¡,Elephant taro bacterial leaf blight
Ä§ÓóÂÖÎÆ°ß²¡,nan
Ä§ÓóÌ¿¾Ò²¡,nan
Ä§ÓóÏ¸¾úĞÔÒ¶¿İ²¡,Elephant taro bacterial leaf spot
Ä§Óó²¡¶¾²¡,nan
½ª¿İÎ®²¡,Ginger Fusarium rhizome rot
Çà»¨²ËÏ¸¾úĞÔºÚ°ß²¡,Broccoli bacterial black spot
´ĞÌ¿¾Ò²¡,Onion anthracnose
´ĞÒ¶Ã¹²¡,Onion Heterosporium blight
´ĞºÚ·Û²¡,Onion smut
´ĞÈí¸¯²¡,Onion bacterial soft rot
´Ğ»Æ°«²¡,Onion yellow dwarf
´ó°×²ËËªÃ¹²¡,Chinese cabbage downy milde
´ó°×²Ë°×°ß²¡,Chinese cabbage Cercosporella leaf spot
´ó°×²ËÌ¿¾Ò²¡,Chinese cabbage anthracnose
´ó°×²ËºÖ¸¯²¡,Chinese cabbage brown rot
´ó°×²ËºÚ°ß²¡,Chinese cabbage Alternaria leaf spot
´ó°×²Ë¼ÙºÚ°ß²¡,Chinese cabbage black spot
Çà»¨²Ë°×Ğâ²¡,Broccoli white rust
Çà»¨²ËºÚëÖ²¡,Broccoli black leg
ÓñÃ×ÌõÎÆ°«Ëõ²¡,Corn streak dwarf
´ó°×²ËºÚëÖ²¡,Chinese cabbage black leg
Çà»¨²ËºÚ°ß²¡,Broccoli black leaf spot
Çà»¨²ËËªÃ¹²¡,Broccoli downy milde
Çà»¨²Ë»ÒÃ¹²¡,Broccoli gray mold
Çà»¨²ËÈí¸¯²¡,Broccoli bacterial soft rot
ÓñÃ×°«»¨Ò¶²¡,Corn dwarf mosaic
ÓñÃ×´ÖËõ²¡,Corn rough dwarf
ÓñÃ×ËªÃ¹²¡,Corn downy mildew
ÓñÃ×ÑÛ°ß²¡,Corn eyespot
ÓñÃ×Á´¸ñæß¾úÒ¶¿İ²¡,nan
ÓñÃ×°ß¿İ²¡,nan
ÓñÃ×Ì¿¾Ò²¡,Corn anthracnose
ÓñÃ×Ò¶ÇÊ×Ï°ß²¡,Corn purple leaf sheath
ÓñÃ×Á¢¿İË¿ºË¾ú¸ù¸¯²¡,nan
ÓñÃ×Æ½ÆêÈäæß¾¥»ù¸¯²¡,nan
ÓñÃ×¼ÙºÚ·Û²¡,Corn false smut
ÓñÃ×³àÃ¹²¡,Corn Gibberella rot
ÓñÃ×ÖÖ×ÓÃ¹ÀÃ,nan
ÓñÃ×È«Ê´²¡,nan
ÓñÃ×ºÚÊø²¡,Corn black bundle
ÓñÃ×Ï¸¾úĞÔÌõÎÆ²¡,Corn or maize bacterial stripe
ÓñÃ×Ï¸¾úĞÔ¾¥¸¯²¡,Corn bacterial stalk rots
ÓñÃ×Ï¸¾úÎ®Äè²¡,Corn stew art¡¯s disease
ÓñÃ×Íº¼â,nan
ÓñÃ×»¨ÆÚ²»Ğ­µ÷,Difference florescence in corn
°×ÂöÕ³³æ,nan
»ÆĞÇ»È,Aularches milaris
µ¾ÎÁ²¡,Rice blast
Ë®µ¾¶ñÃç²¡,Rice bakanae disease
Ë®µ¾ÀÃÑí,Seed and seedling rot of rice
Ë®µ¾ÃçÒß²¡,Phytophthora blight of rice
Ë®µ¾Ò¶ºÚ·Û²¡,Rice leaf smut 
Ë®µ¾ÔÆĞÎ²¡,Rice leaf scald Micro
Ë®µ¾¾úºË¸Ñ¸¯²¡,Rice sclerotial stem rots
Ë®µ¾»ÆÎ®²¡,Rice rice yellow dwarf
Ë®µ¾°«Ëõ²¡,Rice dwarf
Ë®µ¾¸ßÎÂÎªº¦,Rice High-Temperature damage
Ë®µ¾ÎÆ¿İ²¡,Rice sheath blight
Ë®µ¾ºúÂé°ß²¡,Rice brown spot
Ë®µ¾¶«¸ñÂ³²¡¶¾²¡,Rice tungro
Ë®µ¾µ¹·ü,rice lodging
µ¾ÃøòÈ,Rice green semilooper
µ¾ñ¨ÎÃ,Rice gall midge¡£
Ë®µ¾ËªÃ¹²¡,Downy mildew of rice
Ë®µ¾Ò¶ÇÊ¸¯°Ü²¡,Rice sheath rot
Ë®µ¾Ò¶ÇÊÍø°ß²¡,Rice sheath net-blotch
Ë®µ¾×ÏÇÊ²¡,Rice purple sheath disease
Ë®µ¾Õ­Ìõ°ß²¡,Rice narrow brown leaf spot
Ë®µ¾Ò¶¼â¿İ²¡,nan
µ¾Çú²¡,Rice false smut
µ¾Á£ºÚ·Û²¡,Rice kernel smut
Ë®µ¾Ò»ÖùÏã²¡,Rice¡°1-chu-hsing¡±
Ë®µ¾°×Ò¶¿İ²¡,Rice bacterial leaf blight
Ë®µ¾Ï¸¾úĞÔÌõ°ß²¡,Rice bacterial leaf streak
Ë®µ¾Ï¸¾úĞÔºÖÌõ²¡,Rice bacterial stripe
Ë®µ¾Ï¸¾úĞÔºÖ°ß²¡,Rice bacterial sheath rot
Ë®µ¾³ÈÒ¶²¡,Rice orange leaf
Ë®µ¾¾¥Ïß³æ²¡,Rice stem nematode
Ì¨Íåµ¾Ãø,Taiwan rice stem borer
ºÖ±ßÃø,nan
Ë®µ¾Ï¸¾úĞÔ»ù¸¯²¡,Rice bacterial foot rot
Ë®µ¾Ó±¿İ²¡,nan
Ë®µ¾ÌõÎÆÒ¶¿İ²¡,Rice stripe disease
Ë®µ¾ºÚÌõ°«Ëõ²¡,Rice black streak dwarf
Ë®µ¾¸É¼âÏß³æ²¡,Rice white tip nematode
Ë®µ¾¸ù½áÏß³æ²¡,Rice root-knot nematode
Ë®µ¾³à¿İ²¡,Rice akagare
Èı»¯Ãø,Yellow stem borer
µ¾×İ¾íÒ¶Ãø,Rice leaf folder
ÏÔÎÆµ¾×İ¾íÒ¶Ãø,Japanese rice leaf roller
µ¾ÑÛµû,Rice green horned caterpillar
µ¾ºÖÑÛµû,common evening brown
µ¾ÇĞÒ¶Ò°Ãø,nan
µ¾½ğ³áÒ¹¶ê,nan
µ¾³²Ãø,lawn webworm
Ö±ÎÆµ¾Åªµû,Rice skipper
µ¾¸ÑÇ±Ó¬,rice stem maggot
µ¾Ç±Ò¶Ó¬,rice leaf-miner
µ¾ºÚòí,black rice bug
´óµ¾Ôµòí,Large paddy bug
ºÖ·ÉÊ­,Rice brown planthopper
ºÚÎ²Ò¶²õ,Rice leafhopper
µç¹âÒ¶²õ,zig-zag winged leafhopper
°×³áÒ¶²õ,nan
µ¾³à°ßÄ­²õ,nan
µ¾¼»Âí,Rice thrips
µ¾¹Ü¼»Âí,rice acu-leated thrips
µ¾Í²Ë®Ãø,nan
³¤³áµ¾»È,nan
Ğ¡Âó¸ÑºÚ·Û²¡,Wheat flag smut
Ë®µ¾¸ºÄà³æ,rice leaf beetle
µ¾Ìú¼×³æ,paddy hispid
µ¾Ë®Ïó¼×,rice water weevil
µ¾Ïó¼×,Rice weevils
¸£ÊÙÂİ,Apple snail
µ¾Ë®Ãø,small rice case-bearer
ÈÕ±¾»Æ¼¹»È,nan
³¤ÍÈË®Ò¶¼×,rice rootworm
·ÆµºÃ«ÑÛË®Ó¬,rice whorl maggot
¶şĞÇòí,white-spotted globular bug
³¤¼ç¼¬Ôµòí,nan
Ğ¡Âó¸Ñ¿İ²¡,Wheat stem blight
Ğ¡ÂóÈ«Ê´²¡,Wheat take-all
Ğ¡ÂóÌ¿¾Ò²¡,Wheat anthracnose
Ğ¡ÂóºÚ½Ú²¡,Wheat black node
Ğ¡Âó°×·Û²¡,Wheat powdery mildew
Ğ¡ÂóÌõĞâ²¡,Wheat stripe rust
Ğ¡Âó¸ÑĞâ²¡,Wheat stem rust
Ğ¡ÂóÒ¶Ğâ²¡,Wheat leaf rust
Ğ¡ÂóÎÆ¿İ²¡,Wheat sheath blight
Ğ¡ÂóËªÃ¹²¡,Wheat downy mildew
Ğ¡ÂóÑ©Ã¹Ò¶¿İ²¡,Wheat speckled snow mold
Ğ¡Âó°×¸Ñ²¡,Wheat white stem
Ğ¡Âó¸ù¸¯²¡,Wheat common root rot
Ğ¡ÂóÈäæßÒ¶°ß¸ù¸¯²¡,nan
Ğ¡Âó³àÃ¹²¡,Wheat head blight
Ğ¡ÂóÓ±¿İ²¡,Wheat septoria nodorum blotch
Ğ¡ÂóÉ¢ºÚËë²¡,Wheat loose smut
Ğ¡Âóºì°«²¡,wheat red stunt
Ğ¡Âó°ß¿İ²¡,Wheat leaf spot
Ğ¡Âó»Æ°ßÒ¶¿İ²¡,Wheat yellow leaf blotch
Ğ¡ÂóÁ´¸ñæßÒ¶¿İ²¡,Alternaria leaf blight of wheat
Ğ¡ÂóĞÈºÚËë²¡,Wheat common smut
Ğ¡ÂóºÚÓ±²¡,Wheat black chaff
Ğ¡ÂóËóÌõ°ß»¨Ò¶²¡,Wheat spindle streak mosaic
Ğ¡ÂóÍÁ´«»¨Ò¶²¡¶¾²¡,Wheat soil¡ªborne mosaic
Ğ¡ÂóÃÛËë²¡,Wheat spike blight
Ğ¡ÂóÂó½Ç²¡,Wheat ergot
Ğ¡Âó»ÒÃ¹²¡,Wheat  gray mold
Ğ¡ÂóÏ¸¾úĞÔÌõ°ß²¡,Wheat bacterial leaf streak
Ğ¡Âó»Æ°«²¡,Wheat yellow dwarf
Ğ¡ÂóÀ¶°«²¡¶¾²¡,Wheat blue dwarf
Ğ¡Âó´Ô°«²¡,Wheat rosette dwarf
Ğ¡Âó¾íÇú²¡,Wheat Dilophospora leaf spot
Ğ¡ÂóÁ£Ïß³æ²¡,Wheat seed gall nematode
Ğ¡ÂóºÌ¹È°ûÄÒÏß³æ²¡,Wheat cereal cyst nematode
´óÂóÂó½Ç²¡,Barley ergot
´óÂó»Æ»¨Ò¶²¡,Barley yellow mosaic
´óÂó°×·Û²¡,Barley powdery mildew
